fsa,electric,hev_sedan,hev_suv,ice_sedan,ice_suv,ice_van/pickup
G0A,0.0135344758655355,0.0095238070167819,0.008394518916484,0.3947279757347917,0.4412938969818757,0.132525325484531
G0B,0.0057992026096411,0.0697716563972453,0.0052555273649873,0.4891264951069227,0.327473722363175,0.1025733961580282
G0C,0.0035784542136678,0.0044486349811787,0.0048356649038057,0.3962001047301411,0.385720970694238,0.2052161704769683
G0E,0.0009348388379779,0.0034230999360492,0.0008557749840123,0.3703173920892554,0.3707492605179033,0.2537196336348015
G0G,0.0027005923486911,0.0029257018204097,0.0047330471801389,0.2477066302307373,0.4259664259687117,0.3159676024513109
G0H,0.0024588082602759,0.0062928049052673,0.0046685304822756,0.334915100279782,0.3858640712709001,0.2658006848014988
G0J,0.0042654694075894,0.0052725134511467,0.0054471161245855,0.3770942553249288,0.3830211674902792,0.2248994782014702
G0K,0.0074310689429446,0.0072086409843388,0.0079039535335159,0.3756416307797671,0.4262155075121677,0.1755991982472659
G0L,0.0086070017250493,0.0080264240254631,0.0065254510178319,0.4050979265731589,0.4091162479001506,0.1626269487583458
G0M,0.0028739123621229,0.004305184298927,0.0057776836367673,0.4030805894257116,0.4039947865121946,0.1799678437642764
G0N,0.0056054342629163,0.0057061593086386,0.0073409503793632,0.4226810506539789,0.4073392421027,0.1513271632924026
G0P,0.0148514361861694,0.0127236353229361,0.0075955562229509,0.3867584228810449,0.4144411352584125,0.1636298141284861
G0R,0.0060218508097813,0.0067739275855436,0.0059447090988366,0.4233095367926286,0.4044102384834041,0.1535397372298055
G0S,0.00608645085056,0.006251065651518,0.0045716341441798,0.4423630579074953,0.4075617819802299,0.1331660094660169
G0T,0.0026705645428065,0.0044601341909499,0.0047931742688265,0.3447066286271512,0.3938173076264363,0.2495521907438294
G0V,0.0059384890282201,0.006381320152696,0.005739871840013,0.3601436187611674,0.3879512842473842,0.2338454159705192
G0W,0.0055162147846057,0.0059560983677709,0.0058549940738976,0.3340850540396477,0.3758799444507257,0.2727076942833522
G0X,0.0116904403480676,0.0120913760213658,0.0058059286158277,0.4172077216269328,0.3930694840834048,0.160135049304401
G0Y,0.0072577191118453,0.0085624920556466,0.0039757302118258,0.3740640464528615,0.428772254784425,0.1773677573833957
G0Z,0.012567506750682,0.009686185205764,0.0031595180255169,0.4501708527069339,0.3736098345012866,0.1508061028098165
G1A,0.0459016393442622,0.0459016393442622,0.0459016393442622,0.4060450819672131,0.4103483606557376,0.0459016393442622
G1B,0.0090271413319651,0.0084319309675546,0.0100827546605688,0.4280759213498651,0.4523268945474729,0.0920553571425732
G1C,0.0086053504119571,0.0103871201167635,0.0097121280691459,0.4538747473036875,0.4545306911608082,0.0628899629376374
G1E,0.0073683680470335,0.0104208564896289,0.0071954343894963,0.5079316017023705,0.4162032380921681,0.0508805012793024
G1G,0.0073612673741041,0.011901004059028,0.0102921807285071,0.4677070820306488,0.4498507839638768,0.052887681843835
G1H,0.005904813546814,0.0106833606221763,0.0081455178595654,0.5269036527917006,0.406732781528746,0.0416298736509975
G1J,0.0047908955067219,0.0119691745060187,0.0051033004891402,0.5645899565606664,0.3814017105064288,0.0321449624310239
G1K,0.0091162705546277,0.0161486469248898,0.0094626997132686,0.5278801411425315,0.4064424568278403,0.030949784836842
G1L,0.0056453338084433,0.0099622743546239,0.0059305354202423,0.5663452596286647,0.3811803540631906,0.030936242724835
G1M,0.0051797767038541,0.007713568767581,0.0068843925706508,0.5116359309085402,0.4296393586222423,0.0389469724271315
G1N,0.0053352185032457,0.0107965322766824,0.0068115021593473,0.5353126887636985,0.3944081701602664,0.0473358881367595
G1P,0.0069642824299009,0.0097652618420495,0.0083767415338447,0.5073274584001658,0.4172409294290753,0.0503253263649636
G1R,0.0115200780246011,0.0173664799217917,0.013004061153407,0.4951693790317961,0.4423407886864433,0.0205992131819605
G1S,0.0185458705423212,0.0199844906563266,0.0158144259054654,0.4848669212749885,0.4445282093917086,0.0162600822291897
