,CFSAUID
13671,G0A
13672,G0A
13673,G0A
13685,G0A
13686,G0A
13738,G0A
13741,G0A
13742,G0A
13743,G0A
13774,G0A
13775,G0A
13780,G0A
13781,G0A
13809,G0A
13818,G0A
13827,
13828,
13875,G0A
13876,G0A
13890,G0A
13891,G0A
13902,G0A
13903,G0A
13963,G0A
14002,G0A
14003,G0A
14004,G0A
14016,G0A
14017,G0A
14026,G0A
14027,G0A
14028,G0A
14033,G0A
14034,G0A
14035,G0A
14036,G0A
14048,G0A
14050,G0A
14067,G0A
14084,G0A
14085,G0A
14098,G0A
14099,G0A
14100,G0A
14101,G0A
14178,G0A
14179,G0A
14180,G0A
14181,G0A
14209,G0A
14210,G0A
14211,G0A
14212,G0A
14213,G0A
14229,G0A
14230,G0A
14231,G0A
14235,G0A
14237,G0A
14244,G0A
14245,G0A
14246,G0A
14298,G0A
14332,G0A
14392,G0A
14393,G0A
14407,G0A
14408,G0A
14409,G0A
14410,G0A
14423,G0A
14542,G0A
14648,G0A
14649,G0A
14660,G0A
14661,G0A
14688,G0A
14694,G0A
14734,
14744,G0A
14753,G0A
14766,G0A
14767,G0A
14768,G0A
14786,G0A
14787,G0A
14788,G0A
14789,G0A
14799,G0A
14800,G0A
14806,G0A
14957,G0A
14958,G0A
14968,G0A
15014,G0A
15015,G0A
15048,
15075,G0A
15076,G0A
15092,G0A
15093,G0A
15102,G0A
15104,G0A
15111,G0A
15112,G0A
15113,G0A
15121,G0A
15122,G0A
15138,G0A
15162,G0A
15167,G0A
15168,G0A
15237,G0A
15238,G0A
15245,G0A
15246,G0A
15263,G0A
15269,G0A
15270,G0A
15292,G0A
15293,G0A
15298,G0A
15299,G0A
15305,G0A
15315,G0A
15426,G0A
15427,G0A
15466,G0A
15467,G0A
15496,G0A
15505,G0A
15508,G0A
15509,G0A
15511,G0A
15512,G0A
15542,G0A
15543,G0A
15544,G0A
15620,G0A
15640,G0A
15650,G0A
15665,G0A
15696,G0A
15697,G0A
15735,G0A
15736,G0A
15750,G0A
15777,G0A
15780,G0A
15787,G0A
15788,G0A
15824,G0A
15825,G0A
15845,G0A
15866,G0A
15867,G0A
15868,G0A
15922,G0A
15923,G0A
15924,G0A
15925,G0A
15926,G0A
15930,G0A
15952,G0A
15953,G0A
15954,G0A
15955,G0A
16015,G0A
16018,G0A
16019,G0A
16027,G0A
16054,G0A
16060,G0A
16097,G0A
16099,G0A
16102,G0A
16103,G0A
16175,G0A
16187,G0A
16188,G0A
16227,G0A
16228,G0A
16237,G0A
16238,G0A
16239,G0A
16240,G0A
16241,G0A
16242,G0A
16284,G0A
16285,G0A
16293,G0A
16349,G0A
16356,G0A
