,CFSAUID
166317,G1R
166331,G1R
166333,G1R
166351,G1R
166352,G1R
166353,G1R
166359,G1R
166360,G1R
166361,G1R
166448,G1R
166526,G1R
166527,G1R
166541,G1R
166546,G1R
166547,G1R
166571,G1R
166577,G1R
166579,G1R
166602,G1R
166604,G1R
166605,G1R
166629,G1R
166631,G1R
166658,G1R
166659,G1R
166660,G1R
166661,G1R
166669,G1R
166678,G1R
166680,G1R
166681,G1R
166684,G1R
166685,G1R
166694,G1R
166695,G1R
166696,G1R
166697,G1R
166739,G1R
166740,G1R
166754,G1R
166755,G1R
166767,G1R
166768,G1R
166773,G1R
166774,G1R
166800,G1R
166831,G1K
166832,G1K
166833,G1K
166836,G1K
166837,G1K
166838,G1K
166869,G1K
166872,G1K
166888,G1K
166889,G1K
166890,G1K
166921,G1K
166922,G1K
166949,G1K
166950,G1K
166951,G1K
166964,G1K
166965,G1K
166980,G1K
166997,G1K
166998,G1K
167008,G1K
167009,G1K
167027,G1K
167028,G1K
167035,G1K
167037,G1K
167047,G1K
167048,G1K
167054,G1K
167055,G1K
167058,G1K
167067,G1K
167069,G1K
167076,G1K
167087,G1K
167096,G1K
167114,G1K
167117,G1K
167121,G1K
167125,G1K
167126,G1K
167134,G1K
167143,G1K
167147,G1K
167153,G1K
167155,G1K
167169,G1K
167170,G1K
167177,G1K
167178,G1K
167182,G1K
167191,G1K
167210,G1K
167228,G1K
167229,G1K
167246,G1K
167247,G1K
167252,G1K
167253,G1K
167304,G1K
167305,G1K
167315,G1K
167338,G1K
167339,G1K
167340,G1K
167342,G1K
167371,G1K
167376,G1K
167377,G1K
167381,G1K
167387,G1K
167454,G1K
167494,G1K
167513,G1K
167548,G1K
167549,G1K
167551,G1K
167611,G1K
167632,G1K
167633,G1K
167634,G1K
167644,G1K
167673,G1K
167674,G1K
167681,G1K
167825,G1R
167826,G1R
167847,G1R
167868,G1R
167870,G1R
167874,G1R
167924,G1R
167927,G1R
167946,G1R
167947,G1R
167980,G1R
168002,G1R
168007,G1R
168077,G1R
168078,G1R
168079,G1R
168100,G1R
168104,G1R
168105,G1R
168115,G1R
168139,G1R
168140,G1R
168142,G1R
168147,G1R
168148,G1R
168291,G1R
168292,G1R
168302,G1R
168323,G1R
168328,G1R
168343,G1R
168390,G1R
168426,G1R
168472,G1R
168475,G1R
168480,G1R
168486,G1R
168491,G1R
168553,G1R
168576,G1R
168602,G1R
168603,G1R
168646,G1R
168648,G1R
168697,G1R
168698,G1R
168715,G1R
168716,G1R
168724,G1R
168725,G1R
168730,G1R
168738,G1R
168752,G1R
168755,G1R
168788,G1R
168789,G1R
168796,G1R
168819,G1R
168828,G1R
168829,G1R
168830,G1R
168831,G1R
168832,G1R
168833,G1R
168837,G1R
168865,G1R
168902,G1R
168924,G1R
168943,G1R
169012,G1R
169072,G1R
169102,G1R
169103,G1R
169122,G1R
169126,G1R
169138,G1R
169163,G1R
169172,G1R
169234,G1R
169235,G1R
169292,G1R
169295,G1R
169372,G1R
169373,G1R
169386,G1R
169387,G1R
169388,G1R
169390,G1R
169391,G1R
169392,G1R
169393,G1R
169395,G1R
169417,G1R
169446,G1R
169447,G1R
169471,G1R
169478,G1R
169494,G1R
169519,G1R
169550,G1R
169554,G1R
169564,G1R
169577,G1R
169578,G1R
169579,G1R
169582,G1R
169595,G1R
169596,G1R
169597,G1R
169599,G1R
169600,G1R
169601,G1R
169642,G1R
169652,G1R
169657,G1R
169712,G1R
169713,G1R
169726,G1R
169735,G1R
169760,G1R
169763,G1R
169766,G1R
169777,G1R
169788,G1R
169801,G1R
169802,G1R
169806,G1R
169827,G1R
169880,G1R
169891,G1R
169959,G1R
169975,G1R
169976,G1R
169979,G1R
169980,G1R
169981,G1R
169982,G1R
169983,G1R
169984,G1R
169985,G1R
169986,G1R
169987,G1R
169988,G1R
169996,G1R
169997,G1R
170019,G1R
170020,G1R
170090,G1R
170178,G1R
170189,G1R
170209,G1R
170212,G1R
170216,G1R
170217,G1R
170246,G1R
170251,G1R
170261,G1R
170383,G1R
170390,G1R
170417,G1R
170425,G1R
170443,G1R
170447,G1R
170541,G1R
170546,G1R
170557,G1R
170560,G1R
170561,G1R
170562,G1R
170606,G1R
170607,G1R
170630,G1R
170631,G1R
170647,G1R
170656,G1R
170657,G1R
170658,G1R
170682,G1R
170686,G1R
170704,G1R
170733,G1R
170735,G1R
170760,G1R
170767,G1R
170771,G1R
170772,G1R
170783,G1R
170784,G1R
170815,G1R
170818,G1R
170819,G1R
170824,G1R
170848,G1R
170849,G1R
170868,G1R
170925,G1R
170926,G1R
170950,G1R
170964,G1R
170975,G1R
170985,G1R
170996,G1R
171049,G1R
171050,G1R
171055,G1R
171056,G1R
171094,G1R
171126,G1R
171127,G1R
171128,G1R
171129,G1R
171130,G1R
171131,G1R
171149,G1R
171178,G1R
171179,G1R
171180,G1R
171195,G1R
171196,G1R
171197,G1R
171286,G1R
171313,G1R
171322,G1R
171327,G1R
171329,G1R
171335,G1S
171337,G1S
171341,G1S
171347,G1S
171375,G1R
171376,G1R
171385,G1R
171386,G1R
171467,G1R
171475,G1S
171485,G1S
171487,G1S
171514,G1R
171522,G1S
171523,G1S
171526,G1S
171532,G1R
171533,G1R
171558,G1R
171559,G1R
171609,G1R
171624,G1S
171627,G1S
171690,G1R
171691,G1R
171693,G1R
171697,G1R
171733,G1R
171743,G1R
171750,G1R
171777,G1R
171778,G1R
171779,G1R
171812,G1R
171850,G1R
171862,G1R
171863,G1R
171899,G1R
171916,G1R
171945,G1R
171967,G1R
171988,G1R
171989,G1R
172023,G1R
172024,G1R
172059,G1R
172060,G1R
172061,G1R
172062,G1R
172063,G1R
172064,G1R
172065,G1R
172083,G1R
172084,G1R
172112,G1R
172122,G1R
172126,G1R
172127,G1R
172128,G1R
172180,G1R
172181,G1R
172205,G1R
172206,G1R
172221,G1R
172222,G1R
172255,G1R
172289,G1R
172308,G1R
172355,G1R
172356,G1R
172392,G1R
172404,G1R
172413,G1R
172419,G1R
172433,G1R
172434,G1R
172439,G1R
172464,G1R
172491,G1R
172493,G1R
172495,G1R
172527,G1R
172535,G1R
172564,G1R
172592,G1R
172601,G1R
172639,G1R
172647,G1R
172648,G1R
172659,G1R
172661,G1R
172662,G1R
172671,G1R
172672,G1R
172689,G1R
172690,G1R
172696,G1R
172697,G1R
172713,G1R
172714,G1R
172726,G1R
172743,G1R
172744,G1R
172770,G1R
172771,G1R
172791,G1R
172796,G1R
172797,G1R
172821,G1R
172822,G1R
172823,G1R
172883,G1R
172941,G1R
172945,G1R
172991,G1R
172994,G1R
172995,G1R
172999,G1R
173002,G1R
173043,G1R
173097,G1R
173106,G1R
173107,G1R
173122,G1R
173123,G1R
173127,G1R
173140,G1R
173162,G1R
173165,G1R
173171,G1R
173176,G1R
173185,G1R
173204,G1R
173210,G1R
173222,G1R
173228,G1R
173229,G1R
173249,G1R
173292,G1R
173293,G1R
173294,G1R
173295,G1R
173296,G1R
173297,G1R
173315,G1R
173378,G1R
173437,G1R
173438,G1R
173445,G1S
173446,G1S
173469,G1S
173471,G1S
173474,G1R
173495,G1R
173496,G1R
173497,G1R
173530,G1R
173534,G1S
173570,G1S
173614,G1S
173615,G1R
173618,G1S
173650,G1S
173656,G1R
173667,G1S
173668,G1S
173678,G1S
173694,G1R
173695,G1R
173732,G1R
173788,G1S
173793,G1R
173794,G1R
173805,G1S
173806,G1S
173811,G1R
173812,G1R
173818,G1S
173839,G1R
173847,G1S
173848,G1S
173849,G1S
173874,G1R
173875,G1R
173886,G1R
173913,G1R
173914,G1R
173915,G1R
173930,G1R
173946,G1S
173950,G1S
173975,G1R
173982,G1S
173986,G1S
174004,G1R
174007,G1R
174029,G1S
174030,G1R
174034,G1R
174050,G1S
174067,G1S
174077,G1R
174092,G1R
174093,G1R
174094,G1S
174095,G1S
174096,G1R
174103,G1R
174104,G1R
174108,G1S
174114,G1S
174117,G1R
174118,G1R
174119,G1R
174180,G1R
174191,G1S
174192,G1S
174218,G1R
174237,G1S
174238,G1S
174300,G1R
174302,G1S
174313,G1R
174360,G1S
174361,G1S
174376,G1S
174411,G1R
174412,G1R
174449,G1R
174450,G1R
174472,G1S
174473,G1S
174476,G1R
174477,G1R
174506,G1R
174512,G1R
174513,G1R
174516,G1R
174527,G1S
174530,G1S
174543,G1S
174544,G1S
174553,G1R
174554,G1R
174599,G1S
174600,G1S
174602,G1S
174625,G1R
174630,G1S
174631,G1S
174633,G1S
174654,G1S
174660,G1S
174683,G1R
174684,G1R
174721,G1S
174722,G1S
174723,G1S
174724,G1S
174725,G1S
174750,G1S
174752,G1S
174767,G1S
174769,G1S
174770,G1S
174797,G1R
174799,G1S
174801,G1S
174803,G1R
174809,G1S
174810,G1S
174825,G1S
174868,G1S
174869,G1S
174871,G1S
174873,G1S
174874,G1S
174903,G1S
174904,G1S
174909,G1S
174914,G1R
174923,G1R
174938,G1R
174945,G1S
174947,G1S
174973,G1S
174974,G1S
174979,G1S
174990,G1S
175037,G1R
175081,G1R
175082,G1R
175083,G1R
175084,G1R
175085,G1R
175126,G1S
175163,G1R
175164,G1R
175165,G1S
175166,G1S
175171,G1S
175172,G1S
175183,G1S
175195,G1S
175228,G1S
175248,G1S
175250,G1S
175274,G1S
175275,G1S
175276,G1S
175287,G1R
175288,G1R
175289,G1R
175290,G1R
175291,G1R
175292,G1R
175338,G1S
175339,G1S
175340,G1S
175341,G1S
175366,G1S
175367,G1S
175368,G1S
175398,G1S
175399,G1S
175400,G1S
175401,G1S
175408,G1S
175439,G1R
175459,G1R
175470,G1S
175493,G1R
175507,G1R
175533,G1R
175541,G1R
175542,G1R
175547,G1R
175548,G1R
175554,G1S
175571,G1S
175573,G1S
175583,G1S
175584,G1S
175585,G1S
175623,G1S
175664,G1S
175665,G1S
175666,G1R
175667,G1R
175683,G1R
175712,G1S
175713,G1S
175722,G1S
175748,G1S
175776,G1S
175777,G1S
175780,G1S
175810,G1S
175881,G1S
175882,G1S
175883,G1S
175892,G1S
175898,G1S
175899,G1S
175931,G1S
175932,G1S
175947,G1S
175953,G1S
175954,G1S
175955,G1S
175980,G1R
175982,G1R
175983,G1R
175984,G1R
175985,G1R
175986,G1S
175987,G1S
175988,G1S
175992,G1S
176015,G1R
176025,G1S
176026,G1S
176047,G1S
176072,G1R
176077,G1R
176079,G1R
176080,G1R
176111,G1R
176133,G1S
176135,G1R
176174,G1S
176177,G1S
176178,G1R
176202,G1S
176208,G1S
176211,G1S
176233,G1S
176294,G1S
176304,G1S
176305,G1S
176323,G1S
176325,G1S
176334,G1S
176336,G1S
176337,G1R
176359,G1S
176363,G1S
176365,G1R
176371,G1R
176379,G1S
176384,G1R
176391,G1R
176394,G1S
176398,G1S
176411,G1S
176412,G1S
176413,G1R
176414,G1R
176463,G1S
176464,G1S
176485,G1S
176490,G1S
176501,G1S
176502,G1S
176503,G1S
176511,G1S
176518,G1R
176519,G1R
176542,G1R
176554,G1S
176555,G1S
176568,G1S
176569,G1S
176578,G1S
176579,G1S
176598,G1S
176603,G1S
176604,G1S
176605,G1S
176636,G1R
176637,G1R
176638,G1R
176639,G1R
176699,G1S
176700,G1S
176702,G1S
176703,G1S
176709,G1R
176732,G1S
176755,G1R
176763,G1S
176795,G1R
176797,G1S
176813,G1R
176814,G1R
176815,G1S
176825,G1S
176827,G1S
176829,G1S
176874,G1S
176903,G1S
176904,G1S
176930,G1R
176933,G1S
176935,G1S
176943,G1R
176949,G1S
176950,G1S
176951,G1S
176960,G1S
176961,G1S
176987,G1R
176988,G1R
177040,G1S
177041,G1S
177043,G1S
177044,G1S
177045,G1S
177077,G1S
177096,G1S
177097,G1S
177154,G1S
177174,G1S
177175,G1S
177176,G1S
177194,G1S
177195,G1S
177199,G1R
177200,G1S
177207,G1R
177209,G1R
177210,G1R
177211,G1R
177212,G1R
177229,G1S
177244,G1S
177261,G1S
177284,G1R
177315,G1S
177316,G1S
177320,G1S
177321,G1S
177354,G1S
177375,G1R
177377,G1S
177429,G1S
177430,G1S
177446,G1R
177447,G1R
177454,G1R
177455,G1R
177491,G1R
177496,G1S
177497,G1S
177524,G1S
177525,G1S
177526,G1S
177535,G1S
177536,G1S
177560,G1S
177561,G1S
177605,G1S
177606,G1S
177607,G1S
177608,G1S
177616,G1S
177617,G1S
177618,G1S
177665,G1S
177676,G1S
177689,G1S
177694,G1S
177705,G1S
177713,G1S
177714,G1S
177734,G1S
177735,G1S
177736,G1S
177763,G1S
177775,G1S
177797,G1S
177798,G1S
177881,G1S
177929,G1S
177930,G1S
177972,G1S
177984,G1S
178025,G1S
178060,G1S
178061,G1S
178067,G1S
178079,G1S
178080,G1S
178092,G1S
178093,G1S
178101,G1S
178111,G1S
178131,G1S
178138,G1S
178139,G1S
178144,G1S
178147,G1S
178155,G1S
178183,G1S
178185,G1S
178191,G1S
178192,G1S
178215,G1S
178216,G1S
178217,G1S
178220,G1S
178226,G1S
178237,G1S
178238,G1S
178276,G1S
178300,G1S
178319,G1S
178320,G1S
178321,G1S
178364,G1S
178365,G1S
178384,G1S
178394,G1S
178433,G1S
178435,G1S
178436,G1S
178437,G1S
178457,G1S
178459,G1S
178460,G1S
178462,G1S
178504,G1S
178505,G1S
178506,G1S
178517,G1S
178538,G1S
178542,G1S
178554,G1S
178562,G1S
178566,G1S
178612,G1S
178626,G1S
178648,G1S
178655,G1S
178656,G1S
178659,G1S
178665,G1S
178680,G1S
178691,G1S
178692,G1S
178693,G1S
178699,G1S
178700,G1S
178701,G1S
178702,G1S
178703,G1S
178739,G1S
178740,G1S
178742,G1S
178743,G1S
178747,G1S
178748,G1S
178810,G1S
178811,G1S
178839,G1S
178858,G1S
178859,G1S
178860,G1S
178863,G1S
178866,G1S
178894,G1S
178895,G1S
178906,G1S
178907,G1S
178976,G1S
178983,G1S
179002,G1S
179023,G1S
179024,G1S
179040,G1S
179074,G1S
179076,G1S
179112,G1S
179119,G1S
179125,G1S
179127,G1S
179154,G1S
179155,G1S
179175,G1S
179176,G1S
179195,G1S
179196,G1S
179211,G1S
179212,G1S
179217,G1S
179218,G1S
179227,G1S
179228,G1S
179255,G1S
179256,G1S
179265,G1S
179266,G1S
179322,G1S
179323,G1S
179324,G1S
179337,G1S
179338,G1S
179354,G1S
179415,G1S
179438,G1S
179458,G1S
179486,G1S
179487,G1S
179507,G1S
179541,G1S
179552,G1S
179553,G1S
179554,G1S
179559,G1S
179560,G1S
179643,G1S
179693,G1S
179698,G1S
179699,G1S
179726,G1S
179762,G1S
179763,G1S
179764,G1S
179765,G1S
179766,G1S
179767,G1S
179806,G1S
179921,G1S
179926,G1S
179952,G1S
179986,G1S
180015,G1S
180016,G1S
180027,G1S
180033,G1S
180043,G1S
180060,G1S
180114,G1S
180115,G1S
180165,G1S
180166,G1S
180178,G1S
180186,G1S
180187,G1S
180200,G1S
180201,G1S
180228,G1S
180229,G1S
180254,G1S
180273,G1S
180298,G1S
180303,G1S
180308,G1S
180338,G1S
180342,G1S
180361,G1S
180365,G1S
180375,G1S
180426,G1S
180496,G1S
180497,G1S
180510,G1S
180511,G1S
180569,G1S
180570,G1S
180602,G1S
180603,G1S
180611,G1S
180674,G1S
180691,G1S
180692,G1S
180693,G1S
180715,G1S
180725,G1S
180726,G1S
180727,G1S
180728,G1S
180778,G1S
180786,G1S
180809,G1S
180822,G1S
180830,G1S
180832,G1S
180855,G1S
180859,G1S
180860,G1S
180890,G1S
180929,G1S
180930,G1S
180942,G1S
180952,G1S
180962,G1S
180966,G1S
180975,G1S
180983,G1S
180990,G1S
180994,G1S
181025,G1S
181026,G1S
181029,G1S
181030,G1S
181033,G1S
181034,G1S
181039,G1S
181040,G1S
181052,G1S
181092,G1S
181093,G1S
181167,G1S
181168,G1S
181173,G1S
181174,G1S
181175,G1S
181176,G1S
181195,G1S
181196,G1S
181198,G1S
181239,G1S
181248,G1S
181260,G1S
181263,G1S
181267,G1S
181302,G1S
181312,G1S
181313,G1S
181427,G1S
181428,G1S
181438,G1S
181439,G1S
181441,G1S
181445,G1S
181470,G1S
181471,G1S
181472,G1S
181473,G1S
181548,G1S
181549,G1S
181560,G1S
181561,G1S
181574,G1S
181633,G1S
181634,G1S
181636,G1S
181637,G1S
181644,G1S
181666,G1S
181667,G1S
181668,G1S
181669,G1S
181706,G1S
181737,G1S
181743,G1S
181767,G1S
181780,G1S
181786,G1S
181803,G1S
181821,G1S
181829,G1S
181832,G1S
181839,G1S
181861,G1S
181873,G1S
181874,G1S
181887,G1S
181888,G1S
181897,G1S
181898,G1S
181900,G1S
181916,G1S
181917,G1S
181977,G1S
182029,G1S
182030,G1S
182033,G1S
182050,G1S
182054,G1S
182069,G1S
182070,G1S
182093,G1S
182094,G1S
182133,G1S
182134,G1S
182135,G1S
182142,G1S
182153,G1S
182162,G1S
182163,G1S
182166,G1S
182181,G1S
182198,G1S
182199,G1S
182222,G1S
182229,G1S
182230,G1S
182248,G1S
182258,G1S
182270,G1S
182289,G1S
182290,G1S
182296,G1S
182299,G1S
182345,G1S
182346,G1S
182381,G1S
182402,G1S
182403,G1S
182412,G1S
182413,G1S
182418,G1S
182419,G1S
182447,G1S
182452,G1S
182474,G1S
182498,G1S
182537,G1S
182543,G1S
182579,G1S
182594,G1S
182647,G1S
182648,G1S
182663,G1S
182665,G1S
182675,G1S
182730,G1S
182738,G1S
182750,G1S
182751,G1S
182766,G1S
182780,G1S
182793,G1S
182794,G1S
182795,G1S
182799,G1S
182802,G1S
182853,G1S
182854,G1S
182915,G1S
182938,G1S
182955,G1S
182959,G1S
182974,G1S
182981,G1S
182999,G1S
183010,G1S
183016,G1S
183028,G1S
183078,G1S
183106,G1S
183175,G1S
183205,G1S
183225,G1S
183247,G1S
183283,G1S
183284,G1S
183303,G1S
183317,G1S
183318,G1S
183324,G1S
183325,G1S
183326,G1S
183344,G1S
183345,G1S
183355,G1S
183356,G1S
183357,G1S
183389,G1S
183395,G1S
183396,G1S
183397,G1S
183398,G1S
183409,G1S
183440,G1S
183467,G1S
183469,G1S
183526,G1S
183527,G1S
183528,G1S
183535,G1S
183547,G1S
183564,G1S
183576,G1S
183595,G1S
183596,G1S
183622,G1S
183623,G1S
183721,G1S
183722,G1S
183723,G1S
183724,G1S
183725,G1S
183726,G1S
183744,G1S
183745,G1S
183750,G1S
183751,G1S
183784,G1S
183785,G1S
183786,G1S
183787,G1S
183825,G1S
183826,G1S
183835,G1S
183836,G1S
183875,G1S
183938,G1S
183939,G1S
184014,G1S
184037,G1S
184038,G1S
184060,G1S
184080,G1S
184110,G1S
184111,G1S
184113,G1S
184124,G1S
184125,G1S
184126,G1S
184127,G1S
184174,G1S
184175,G1S
184176,G1S
184177,G1S
184216,G1S
184226,G1S
184227,G1S
184244,G1S
184245,G1S
184252,G1S
184287,G1S
184288,G1S
184318,G1S
184319,G1S
184320,G1S
184321,G1S
184323,G1S
184324,G1S
184374,G1S
184375,G1S
184421,G1S
184422,G1S
184423,G1S
184424,G1S
184443,G1S
184445,G1S
184468,G1S
184469,G1S
184470,G1S
184490,G1S
184503,G1S
184504,G1S
184518,G1S
184522,G1S
184547,G1S
184548,G1S
184549,G1S
184567,G1S
184592,G1S
184593,G1S
184632,G1S
184634,G1S
184645,G1S
184656,G1S
184657,G1S
184658,G1S
184659,G1S
184660,G1S
184681,G1S
184682,G1S
184683,G1S
184684,G1S
184708,G1S
184729,G1S
184758,G1S
184759,G1S
184762,G1S
184763,G1S
184770,G1S
184771,G1S
184772,G1S
184773,G1S
184798,G1S
184802,G1S
184817,G1S
184818,G1S
184837,G1S
184838,G1S
184839,G1S
184840,G1S
184862,G1S
184863,G1S
184864,G1S
184865,G1S
184929,G1S
184931,G1S
184934,G1S
184935,G1S
184992,G1S
185000,G1S
185026,G1S
185137,G1S
185141,G1S
185143,G1S
185144,G1S
185150,G1S
185202,G1S
185204,G1S
185205,G1S
185210,G1S
185211,G1S
185246,G1S
185254,G1S
185255,G1S
185256,G1S
185304,G1S
185305,G1S
185315,G1S
185316,G1S
185317,G1S
185318,G1S
185319,G1S
185336,G1S
185409,G1S
185422,G1S
185430,G1S
185431,G1S
185433,G1S
185442,G1S
185443,G1S
185444,G1S
185445,G1S
185472,G1S
185485,G1S
185486,G1S
185503,G1S
185505,G1S
185511,G1S
185512,G1S
185531,G1S
185532,G1S
185541,G1S
185542,G1S
185573,G1S
185574,G1S
185602,G1S
185615,G1S
185616,G1S
185645,G1S
185662,G1S
185663,G1S
185665,G1S
185675,G1S
185679,G1S
185701,G1S
185702,G1S
185704,G1S
185705,G1S
185706,G1S
185709,G1S
185710,G1S
185721,G1S
185722,G1S
185723,G1S
185774,G1S
185776,G1S
185777,G1S
185781,G1S
185799,G1S
185812,G1S
185845,G1S
185854,G1S
185855,G1S
185870,G1S
185884,G1S
185885,G1S
185892,G1S
185911,G1S
185929,G1S
185930,G1S
185931,G1S
185932,G1S
185946,G1S
185947,G1S
185970,G1S
185981,G1S
185982,G1S
185983,G1S
185994,G1S
185995,G1S
185998,G1S
186110,G1S
186111,G1S
186112,G1S
186114,G1S
186115,G1S
186116,G1S
186117,G1S
186132,G1S
186145,G1S
186237,G1V
186240,G1V
186263,G1V
186267,G1V
186268,G1V
186269,G1V
186270,G1V
186278,G1V
186279,G1V
186284,G1V
186285,G1V
186329,G1V
186336,G1V
186339,G1V
186358,G1V
186359,G1V
186361,G1V
186411,G1V
186458,G1V
186462,G1V
186475,G1V
186528,G1V
186565,G1V
186579,G1V
186581,G1V
186708,G1V
186714,G1V
186750,G1V
186751,G1V
186753,G1V
186754,G1V
186784,G1V
186789,G1V
186790,G1V
186791,G1V
186792,G1V
186828,G1V
186848,G1V
186859,G1V
186860,G1V
186874,G1V
186875,G1V
186947,G1V
187015,G1V
187017,G1V
187019,G1V
187020,G1V
187047,G1V
187048,G1V
187125,G1V
187126,G1V
187131,G1V
187167,G1V
187172,G1V
187173,G1V
187174,G1V
187206,G1V
187207,G1V
187232,G1V
187233,G1V
187234,G1V
187235,G1V
187307,G1V
187333,G1V
187347,G1V
187427,G1V
187428,G1V
187479,G1V
187490,G1V
187491,G1V
187492,G1V
187493,G1V
187499,G1V
187500,G1V
187508,G1V
187509,G1V
187511,G1V
187532,G1V
187570,G1V
187585,G1V
187586,G1V
187590,G1V
187591,G1V
187592,G1V
187594,G1V
187595,G1V
187609,G1V
187610,G1V
187679,G1V
187705,G1V
187706,G1V
187707,G1V
187750,G1V
187767,G1V
187768,G1V
187770,G1V
187778,G1V
187779,G1V
187810,G1V
187811,G1V
187817,G1V
187818,G1V
187820,G1V
187833,G1V
187844,G1V
187852,G1V
187872,G1V
187960,G1V
187966,G1V
187971,G1V
187997,G1V
187998,G1V
188027,G1V
188061,G1V
188063,G1V
188072,G1V
188073,G1V
188080,G1V
188082,G1V
188083,G1V
188086,G1V
188087,G1V
188088,G1V
188089,G1V
188110,G1V
188111,G1V
188130,G1V
188131,G1V
188133,G1V
188154,G1V
188155,G1V
188156,G1V
188157,G1V
188166,G1V
188167,G1V
188172,G1V
188194,G1V
188195,G1V
188196,G1V
188197,G1V
188200,G1V
188201,G1V
188251,G1V
188302,G1V
188303,G1V
188343,G1T
188344,G1T
188364,G1T
188411,G1T
188412,G1T
188413,G1T
188414,G1T
188415,G1T
188438,G1T
188440,G1T
188443,G1T
188455,G1T
188456,G1T
188725,G1T
188742,G1T
188809,G1T
188810,G1T
188859,G1T
188878,G1T
188879,G1T
188882,G1T
188883,G1T
189004,G1T
189016,G1T
189017,G1T
189018,G1T
189019,G1T
189059,G1T
189060,G1T
189061,G1T
189062,G1T
189063,G1T
189138,G1T
189181,G1T
189183,G1T
189184,G1T
189254,G1T
189255,G1T
189284,G1T
189288,G1T
189289,G1T
189313,G1T
189316,G1T
189353,G1T
189354,G1T
189355,G1T
189356,G1T
189357,G1T
189358,G1T
189365,G1T
189372,G1T
189405,G1T
189427,G1T
189428,G1T
189429,G1T
189433,G1T
189434,G1T
189435,G1T
189436,G1T
189505,G1T
189506,G1T
189507,G1T
189561,G1T
189562,G1T
189563,G1T
189565,G1T
189582,G1T
189583,G1T
189584,G1T
189585,G1T
189586,G1T
189602,G1T
189603,G1T
189604,G1T
189608,G1T
189609,G1T
189610,G1T
189624,G1T
189625,G1T
189650,G1T
189651,G1T
189656,G1T
189657,G1T
189698,G1T
189704,G1T
189705,G1T
189707,G1T
189741,G1T
189742,G1T
189743,G1T
189744,G1T
189745,G1T
189746,G1T
189771,G1T
189772,G1T
189775,G1T
189776,G1T
189793,G1T
189862,G1T
189863,G1T
189866,G1T
189867,G1T
189868,G1T
189869,G1T
189886,G1T
189887,G1T
189888,G1T
189889,G1T
189893,G1T
189895,G1T
189932,G1T
189939,G1T
189940,G1T
189947,G1T
189948,G1T
189949,G1T
189950,G1T
189972,G1T
189974,G1T
189982,G1T
190036,G1T
190077,G1T
190078,G1T
190080,G1T
190081,G1T
190130,G1T
190149,G1T
190215,G1T
190216,G1T
190219,G1T
190220,G1T
190245,G1T
190246,G1T
190248,G1T
190252,G1T
190253,G1T
190254,G1T
190264,G1T
190265,G1T
190266,G1T
190267,G1T
190272,G1T
190273,G1T
190274,G1T
190275,G1T
190303,G1T
190304,G1T
190305,G1T
190316,G1T
190317,G1T
190337,G1T
190340,G1T
190342,G1T
190347,G1T
190348,G1T
190388,G1T
190389,G1T
190392,G1T
190393,G1T
190450,G1T
190451,G1T
190452,G1T
190462,G1T
190463,G1T
190464,G1T
190496,G1T
190497,G1T
190556,G1T
190605,G1T
190606,G1T
190655,G1T
190658,G1T
190664,G1T
190689,G1T
190690,G1T
190693,G1T
190696,G1T
190702,G1T
190705,G1T
190715,G1T
190761,G1T
190805,G1T
190806,G1T
190825,G1T
190863,G1T
190864,G1T
190865,G1T
190878,G1T
190879,G1T
190882,G1T
190883,G1T
190888,G1T
190928,G1T
191018,G1T
191020,G1T
191021,G1T
191035,G1T
191036,G1T
191043,G1T
191044,G1T
191063,G1T
191101,G1T
191122,G1T
191123,G1T
191124,G1T
191125,G1T
191152,G1T
191153,G1T
191161,G1T
191162,G1T
191171,G1T
191172,G1T
191175,G1T
191209,G1T
191210,G1T
191241,G1T
191280,G1T
191339,G1T
191358,G1T
191366,G1T
191367,G1T
191370,G1T
191372,G1T
191385,G1T
191386,G1T
191387,G1T
191388,G1T
191400,G1T
191423,G1T
191424,G1T
191436,G1T
191437,G1T
191462,G1T
191563,G1T
191564,G1T
191565,G1T
191577,G1T
191578,G1T
191707,G1T
191715,G1T
191716,G1T
191728,G1T
191735,G1T
191736,G1T
191743,G1T
191744,G1T
191745,G1T
191760,G1T
191761,G1T
191762,G1T
191763,G1T
191769,G1T
191770,G1T
191773,G1T
191823,G1T
191824,G1T
191834,G1T
191835,G1T
191836,G1T
191838,G1T
191840,G1T
191841,G1T
191857,G1T
191874,G1T
191875,G1T
191876,G1T
191882,G1T
191932,G1T
191933,G1T
191934,G1T
191935,G1T
191936,G1T
191990,G1T
191994,G1T
191995,G1T
191997,G1T
191998,G1T
192061,G1T
192062,G1T
192063,G1T
192064,G1T
192065,G1T
192066,G1T
192083,G1T
192084,G1T
192100,G1T
192101,G1T
192102,G1T
192103,G1T
192120,G1T
192121,G1T
192122,G1T
192123,G1T
192203,G1T
192206,G1T
192211,G1T
192212,G1T
192247,G1T
192248,G1T
192249,G1T
192250,G1T
192251,G1T
192294,G1T
192310,G1T
192311,G1T
192312,G1T
192318,G1T
192319,G1T
192368,G1T
192369,G1T
192370,G1T
192371,G1T
192403,G1T
192404,G1T
192405,G1T
192406,G1T
192407,G1T
192408,G1T
192509,G1T
192510,G1T
192532,G1T
192533,G1T
192534,G1T
192535,G1T
192598,G1T
192601,G1T
192602,G1T
192605,G1T
192606,G1T
192607,G1T
192608,G1T
192610,G1T
192611,G1T
